Date,Open,High,Low,Close,Adj Close,Volume
8/28/19,83.199997,84.260002,83.059998,84.220001,83.178673,3889500
8/29/19,85,85.110001,84.470001,84.82,83.771248,3758600
8/30/19,85.470001,85.620003,84.629997,85.32,84.265076,3627900
9/3/19,84.43,84.639999,83.260002,84.059998,83.020645,4060600
9/4/19,84.5,84.699997,83.779999,84.220001,83.178673,3673100
9/5/19,85,86.160004,84.559998,85.900002,84.837898,4356400
9/6/19,86.230003,86.43,85.599998,86.040001,84.976166,4451300
9/9/19,86.339996,86.43,83.870003,84.220001,83.178673,4444600
9/10/19,83.440002,83.480003,81.019997,83.209999,82.18116,5613100
9/11/19,82.449997,84.559998,82.25,84.519997,83.47496,4458900
9/12/19,85.029999,85.989998,84.910004,85.209999,84.156425,3517500
9/13/19,85.300003,85.360001,83.889999,84.269997,83.228043,3633200
9/16/19,83.910004,83.910004,83.029999,83.360001,82.3293,3991200
9/17/19,83.400002,84.5,83.209999,83.580002,82.546577,3578300
9/18/19,83.580002,84.160004,82.849998,83.639999,82.605835,2767500
9/19/19,83.830002,84.25,83.099998,83.230003,82.200912,3392900
9/20/19,83.510002,83.879997,82.870003,83.580002,82.546577,7130100
9/23/19,83.43,83.720001,83.129997,83.160004,82.131775,2279900
9/24/19,83.660004,84.029999,82.220001,82.440002,81.420677,3525400
9/25/19,82.400002,83.050003,82.099998,82.860001,81.83548,2795100
9/26/19,83.279999,83.379997,82.089996,82.660004,81.637962,3265200
9/27/19,83.040001,83.339996,81.419998,81.839996,80.828094,3396600
9/30/19,82.190002,84.389999,82.190002,83.669998,82.635468,4340900
10/1/19,84.029999,84.769997,81.769997,81.839996,80.828094,4436700
10/2/19,81.400002,81.550003,78.769997,79.529999,78.546654,5547100
10/3/19,79.25,81.129997,78.769997,81.07,80.067619,3956000
10/4/19,81.300003,82.32,81.290001,81.989998,80.976242,3390100
10/7/19,81.400002,81.980003,80.970001,81.040001,80.037994,2673200
10/8/19,80.559998,80.559998,78.510002,78.510002,77.539276,5924200
10/9/19,79.309998,79.809998,78.879997,79.5,78.517036,4008500
10/10/19,79.089996,80.459999,79.07,80.139999,79.149117,5085000
10/11/19,80.730003,81.330002,79.550003,79.629997,78.960716,4423000
10/14/19,79.690002,80.190002,79.419998,79.82,79.149117,4228500
10/15/19,80.699997,82.75,80.699997,81.980003,81.290962,6429100
10/16/19,81.360001,83.690002,79.650002,81.779999,81.092644,10707400
10/17/19,81.519997,83,81.470001,82.379997,81.687599,4172800
10/18/19,82.410004,83.32,82.029999,82.790001,82.094154,5219800
10/21/19,83.139999,83.279999,81.519997,81.650002,80.963737,5487900
10/22/19,81.809998,82.279999,80.5,80.540001,79.863068,4764000
10/23/19,80.690002,81.599998,80.410004,81.269997,80.586922,4308300
10/24/19,81.589996,82.089996,81.209999,81.360001,80.676178,4470900
10/25/19,81.449997,81.970001,81.080002,81.650002,80.963737,4872800
10/28/19,81.800003,82.889999,81.760002,82.660004,81.965248,4768700
10/29/19,82.449997,83.870003,82.290001,83.449997,82.748604,4614900
10/30/19,83.32,84.089996,82.900002,84.010002,83.303902,3534800
10/31/19,83.769997,84.349998,82.919998,83.610001,82.907265,4614000
11/1/19,84.089996,84.290001,82.610001,82.660004,81.965248,5119100
11/4/19,83.040001,83.209999,82.220001,82.220001,81.528946,5508000
11/5/19,82.870003,82.900002,80.900002,82.339996,81.647934,8238800
11/6/19,82.5,83.440002,82.379997,83.120003,82.421387,4488600
11/7/19,83.129997,83.580002,82.910004,83.389999,82.68911,6020400
11/8/19,83.330002,83.889999,83.18,83.739998,83.036171,3462800
11/11/19,83.309998,83.900002,83.309998,83.760002,83.056007,3139100
11/12/19,83.660004,84.779999,83.660004,84.339996,83.631126,3701400
11/13/19,83.959999,84.419998,83.269997,84.220001,83.512138,3976900
11/14/19,84.089996,84.389999,83.68,84.120003,83.412979,4474200
11/15/19,84.669998,85.709999,84.400002,85.709999,84.989609,5453500
11/18/19,85.709999,85.900002,84.019997,84.260002,83.551804,5812300
11/19/19,84.620003,84.639999,83.900002,84.290001,83.581543,4152100
11/20/19,84.339996,84.730003,83.199997,83.889999,83.184906,5416200
11/21/19,83.720001,83.800003,82.360001,83.68,82.976677,5211400
11/22/19,83.949997,84.019997,82.790001,83.739998,83.036171,3964600
11/25/19,83.910004,84.809998,83.879997,84.489998,83.779869,5704000
11/26/19,84.650002,85.57,84.32,85.419998,84.702049,8764100
